year,election,jurisdiction,position,candidate
2021,General,City of Seattle,City Attorney,Ann Davison
2021,General,City of Seattle,City Attorney,Nicole Thomas-Kennedy
2021,General,City of Seattle,City Attorney,Write-in
2021,General,City of Seattle,Council Position No. 8,Kenneth Wilson
2021,General,City of Seattle,Council Position No. 8,Teresa Mosqueda
2021,General,City of Seattle,Council Position No. 8,Write-in
2021,General,City of Seattle,Council Position No. 9,Nikkita Oliver
2021,General,City of Seattle,Council Position No. 9,Sara Nelson
2021,General,City of Seattle,Council Position No. 9,Write-in
2021,General,City of Seattle,Mayor,Bruce Harrell
2021,General,City of Seattle,Mayor,M. Lorena Gonzalez
2021,General,City of Seattle,Mayor,Write-in
2021,General,King County,Charter Amendment No. 1,No
2021,General,King County,Charter Amendment No. 1,Yes
2021,General,King County,Charter Amendment No. 2,No
2021,General,King County,Charter Amendment No. 2,Yes
2021,General,King County,Council District No. 1,Rod Dembowski
2021,General,King County,Council District No. 1,Sally Caverzan
2021,General,King County,Council District No. 1,Write-in
2021,General,King County,Council District No. 3,Kathy Lambert
2021,General,King County,Council District No. 3,Sarah Perry
2021,General,King County,Council District No. 3,Write-in
2021,General,King County,Council District No. 5,Dave Upthegrove
2021,General,King County,Council District No. 5,Shukri Olow
2021,General,King County,Council District No. 5,Write-in
2021,General,King County,Council District No. 7,Dominique Torgerson
2021,General,King County,Council District No. 7,Pete von Reichbauer
2021,General,King County,Council District No. 7,Write-in
2021,General,King County,Council District No. 9,Kim-Khanh Van
2021,General,King County,Council District No. 9,Reagan Dunn
2021,General,King County,Council District No. 9,Write-in
2021,General,King County,Executive,Dow Constantine
2021,General,King County,Executive,Joe Nguyen
2021,General,King County,Executive,Write-in
2021,General,Port of Seattle,Commissioner Position No. 1,Norman Z. Sigler
2021,General,Port of Seattle,Commissioner Position No. 1,Ryan Calkins
2021,General,Port of Seattle,Commissioner Position No. 1,Write-in
2021,General,Port of Seattle,Commissioner Position No. 3,Hamdi Mohamed
2021,General,Port of Seattle,Commissioner Position No. 3,Stephanie Bowman
